,unit,cycles,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
41,7,6,01/01/2018 06.50,0,0,31.15,70.5,1004.35,0,288.7
42,8,1,01/01/2018 07.00,0,0,30.9,71.5,1004.1,0,213.1
43,8,2,01/01/2018 07.10,0,0,31.23333333,70.6,1003.833333,0,310.3333333
44,8,3,01/01/2018 07.20,0,0,31.56666667,69.7,1003.566667,0,407.5666667
45,8,4,01/01/2018 07.30,0,0,31.9,68.8,1003.3,0,504.8
46,8,5,01/01/2018 07.40,0,0,33.1,61.8,1003.2,0,366.3
47,8,6,01/01/2018 07.50,0,0,33.4,57.9,1003,0,497.7
48,9,1,01/01/2018 08.00,0,0,33.9,53.3,1002.8,0,449.8
49,9,2,01/01/2018 08.10,0,0,34.4,48.8,1002.7,0,529.3
50,9,3,01/01/2018 08.20,0,0,34.7,48.4,1002.6,0,490.4
51,9,4,01/01/2018 08.30,0,0,34.5,47.7,1002.4,0,431.8
52,9,5,01/01/2018 08.40,0,0,33.8,51.6,1002.5,0,235.9
53,9,6,01/01/2018 08.50,0,0,33.8,51.8,1002.5,0,334.6
54,10,1,01/01/2018 09.00,0,0,33.7,52.1,1002.533333,0,316.8333333
55,10,2,01/01/2018 09.10,0,0,33.6,52.4,1002.566667,0,299.0666667
56,10,3,01/01/2018 09.20,0,0,33.5,52.7,1002.6,0,281.3
57,10,4,01/01/2018 09.30,0,176.55,33.4,53.35,1002.65,0,269.3
58,10,5,01/01/2018 09.40,0,353.1,33.3,54,1002.7,0,257.3
59,10,6,01/01/2018 09.50,0,176.55,32.95,55.2,1002.85,0,199.95
60,11,1,01/01/2018 10.00,0,0,32.6,56.4,1003,0,142.6
61,11,2,01/01/2018 10.10,0,0,32.275,57.675,1003.15,0,116.925
62,11,3,01/01/2018 10.20,0,0,31.95,58.95,1003.3,0,91.25
63,11,4,01/01/2018 10.30,0,0,31.625,60.225,1003.45,0,65.575
64,11,5,01/01/2018 10.40,0,0,31.3,61.5,1003.6,0,39.9
65,11,6,01/01/2018 10.50,0,0,30.9,63.6,1003.5,0,20.5
66,12,1,01/01/2018 11.00,0,0,30.6,64.3,1003.8,0,10.4
67,12,2,01/01/2018 11.10,0.425,65.225,30.4,64.825,1004,0,8.125
68,12,3,01/01/2018 11.20,0.85,130.45,30.2,65.35,1004.2,0,5.85
69,12,4,01/01/2018 11.30,1.275,195.675,30,65.875,1004.4,0,3.575
70,12,5,01/01/2018 11.40,1.7,260.9,29.8,66.4,1004.6,0,1.3
71,12,6,01/01/2018 11.50,1.9,269.4,29.7,66.5,1004.9,0,2
72,13,1,01/01/2018 12.00,0.95,307.3,29.65,66.6,1004.9,0,1.8
73,13,2,01/01/2018 12.10,0,345.2,29.6,66.7,1004.9,0,1.6
74,13,3,01/01/2018 12.20,0,230.1333333,29.53333333,67,1005.133333,0,1.6
75,13,4,01/01/2018 12.30,0,115.0666667,29.46666667,67.3,1005.366667,0,1.6
76,13,5,01/01/2018 12.40,0,0,29.4,67.6,1005.6,0,1.6
77,13,6,01/01/2018 12.50,0,0,29.4,67.3,1005.8,0,1.1
78,14,1,01/01/2018 13.00,0,0,29.3,67.2,1006,0,1.35
79,14,2,01/01/2018 13.10,0,0,29.2,67.1,1006.2,0,1.6
80,14,3,01/01/2018 13.20,0,0,29.2,66.4,1006.3,0,1.7
81,14,4,01/01/2018 13.30,0,0,29.1,65.6,1006.4,0,1.2
82,14,5,01/01/2018 13.40,0.3,310.2,29.1,65.3,1006.4,0,1.9
83,14,6,01/01/2018 13.50,0.5,341.5,29,65.8,1006.5,0,0.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
