,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad,status
77,01/01/2018 12.50,0,0,29.4,67.3,1005.8,0,1.1,Suspect
78,01/01/2018 13.00,0,0,29.3,67.2,1006,0,1.35,Suspect
79,01/01/2018 13.10,0,0,29.2,67.1,1006.2,0,1.6,Good
80,01/01/2018 13.20,0,0,29.2,66.4,1006.3,0,1.7,Good
81,01/01/2018 13.30,0,0,29.1,65.6,1006.4,0,1.2,Good
82,01/01/2018 13.40,0.3,310.2,29.1,65.3,1006.4,0,1.9,Suspect
83,01/01/2018 13.50,0.5,341.5,29,65.8,1006.5,0,0.4,Good
84,01/01/2018 14.00,0,0,28.9,66.5,1006.7,0,0.5,Suspect
85,01/01/2018 14.10,0.1,350.2,28.9,66.4,1006.6,0,1.4,Good
86,01/01/2018 14.20,0.3,341.4,28.8,66.9,1006.7,0,1.4,Suspect
87,01/01/2018 14.30,0.75,330.15,28.75,66.3,1006.9,0,1.65,Good
88,01/01/2018 14.40,1.2,318.9,28.7,65.7,1007.1,0,1.9,Good
89,01/01/2018 14.50,1.4,291.2,28.6,66.35,1006.95,0,1.45,Good
90,01/01/2018 15.00,1.6,263.5,28.5,67,1006.8,0,1,Suspect
91,01/01/2018 15.10,1.5,296.7,28.4,67.4,1007,0,1.1,Suspect
92,01/01/2018 15.20,1.1,306.45,28.35,67.8,1007.1,0,1.1,Good
93,01/01/2018 15.30,0.7,316.2,28.3,68.2,1007.2,0,1.1,Suspect
94,01/01/2018 15.40,1.8,278.1,28.3,68.2,1007.1,0,1.5,Suspect
95,01/01/2018 15.50,1.75,276.9,28.25,68.8,1007.2,0,1.6,Suspect
96,01/01/2018 16.00,1.7,275.7,28.2,69.4,1007.3,0,1.7,Suspect
97,01/01/2018 16.10,1.95,268.65,28.1,69.8,1007.05,0,1.1,Good
98,01/01/2018 16.20,2.2,261.6,28,70.2,1006.8,0,0.5,Good
99,01/01/2018 16.30,1.6,277.1,28,69.8,1006.8,0,0.6,Suspect
100,01/01/2018 16.40,1,292.6,28,69.4,1006.8,0,0.7,Good
