,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
0,6/1/2019 0.00.00,,,,,,,
1,6/1/2019 0.10.00,,,,,,,
2,6/1/2019 0.20.00,,,,,,,
3,6/1/2019 0.30.00,,,,,,,
4,6/1/2019 0.40.00,,,,,,,
5,6/1/2019 0.50.00,,,,,,,
6,6/1/2019 1.00.00,,,,,,,
7,6/1/2019 1.10.00,,,,,,,
8,6/1/2019 1.20.00,,,,,,,
9,6/1/2019 1.30.00,,,,,,,
10,6/1/2019 1.40.00,,,,,,,
11,6/1/2019 1.50.00,,,,,,,
12,6/1/2019 2.00.00,,,,,,,
13,6/1/2019 2.10.00,,,,,,,
14,6/1/2019 2.20.00,,,,,,,
15,6/1/2019 2.30.00,,,,,,,
16,6/1/2019 2.40.00,,,,,,,
17,6/1/2019 2.50.00,,,,,,,
18,6/1/2019 3.00.00,,,,,,,
19,6/1/2019 3.10.00,,,,,,,
20,6/1/2019 3.20.00,,,,,,,
21,6/1/2019 3.30.00,,,,,,,
22,6/1/2019 3.40.00,,,,,,,
23,6/1/2019 3.50.00,,,,,,,
24,6/1/2019 4.00.00,,,,,,,
25,6/1/2019 4.10.00,,,,,,,
26,6/1/2019 4.20.00,,,,,,,
27,6/1/2019 4.30.00,,,,,,,
28,6/1/2019 4.40.00,,,,,,,
29,6/1/2019 4.50.00,,,,,,,
30,6/1/2019 5.00.00,,,,,,,
31,6/1/2019 5.10.00,,,,,,,
32,6/1/2019 5.20.00,,,,,,,
33,6/1/2019 5.30.00,,,,,,,
34,6/1/2019 5.40.00,,,,,,,
35,6/1/2019 5.50.00,,,,,,,
36,6/1/2019 6.00.00,,,,,,,
37,6/1/2019 6.10.00,,,,,,,
38,6/1/2019 6.20.00,,,,,,,
39,6/1/2019 6.30.00,2.4,11.4,33.1,64.7,1008.2,0.0,562.1
40,6/1/2019 6.40.00,1.7,60.7,32.9,65.1,1008.1,0.0,426.2
41,6/1/2019 6.50.00,2.2,34.5,32.6,65.7,1008.0,0.0,308.7
42,6/1/2019 7.00.00,1.3,349.5,32.7,65.6,1008.1,0.0,487.8
43,6/1/2019 7.10.00,1.9,356.2,33.0,65.2,1008.0,0.0,519.9
44,6/1/2019 7.20.00,1.6,15.6,32.6,66.2,1007.9,0.0,291.7
45,6/1/2019 7.30.00,2.5,7.6,32.3,67.5,1007.7,0.0,431.5
46,6/1/2019 7.40.00,2.4,334.2,32.4,66.6,1007.4,0.0,384.1
47,6/1/2019 7.50.00,1.3,16.1,32.3,66.5,1007.4,0.0,379.0
48,6/1/2019 8.00.00,2.0,0.8,32.4,65.7,1007.5,0.0,376.9
49,6/1/2019 8.10.00,2.4,21.8,32.7,64.6,1007.3,0.0,222.4
50,6/1/2019 8.20.00,2.15,20.3,32.2,66.6,1007.3499999999999,0.0,177.95
51,6/1/2019 8.30.00,1.9,18.8,31.7,68.6,1007.4,0.0,133.5
52,6/1/2019 8.40.00,1.9,350.8,31.2,70.2,1007.4,0.0,132.0
53,6/1/2019 8.50.00,1.3,28.5,31.2,70.0,1007.5,0.0,117.4
54,6/1/2019 9.00.00,1.9,20.2,31.3,69.6,1007.4,0.0,96.3
55,6/1/2019 9.10.00,2.3,349.0,30.9,69.1,1007.4,0.0,85.2
56,6/1/2019 9.20.00,1.8,350.6,30.6,71.3,1007.3,0.0,73.2
57,6/1/2019 9.30.00,1.3,43.4,30.4,71.2,1007.3,0.0,75.3
58,6/1/2019 9.40.00,1.3,3.6,30.4,72.3,1007.5,0.0,68.5
59,6/1/2019 9.50.00,1.2,14.2,30.4,71.5,1007.4,0.0,67.5
60,6/1/2019 10.00.00,1.3,22.6,30.4,69.5,1007.6,0.0,65.3
61,6/1/2019 10.10.00,1.3,5.4,30.3,69.9,1007.7,0.0,49.2
62,6/1/2019 10.20.00,0.9,28.0,30.2,71.4,1007.9,0.0,27.2
63,6/1/2019 10.30.00,0.5,33.5,30.2,71.1,1007.8,0.0,7.7
64,6/1/2019 10.40.00,0.2,19.2,30.1,69.8,1007.9,0.0,2.4
65,6/1/2019 10.50.00,0.8,32.7,29.8,72.1,1008.1,0.0,1.6
66,6/1/2019 11.00.00,1.0,40.8,29.8,72.0,1008.2,0.0,0.2
67,6/1/2019 11.10.00,1.4,24.0,29.6,74.5,1008.3,0.0,0.2
68,6/1/2019 11.20.00,1.1,36.5,29.6,76.5,1008.5,0.0,0.0
69,6/1/2019 11.30.00,1.6,89.2,29.6,77.8,1008.6,0.0,0.2
70,6/1/2019 11.40.00,0.9,30.2,29.5,78.6,1008.8,0.0,0.1
71,6/1/2019 11.50.00,0.3,25.7,29.3,78.6,1008.9,0.0,0.1
72,6/1/2019 12.00.00,0.3,25.8,29.5,78.2,1009.1,0.0,0.1
73,6/1/2019 12.10.00,0.5,47.9,29.2,78.6,1009.3,0.0,0.2
74,6/1/2019 12.20.00,1.1,88.4,29.3,78.5,1009.3,0.0,0.1
75,6/1/2019 12.30.00,0.5,53.2,29.3,78.9,1009.4,0.0,0.2
76,6/1/2019 12.40.00,0.9,86.4,29.2,79.2,1009.6,0.0,0.1
77,6/1/2019 12.50.00,1.0,88.2,29.1,79.7,1009.7,0.0,0.1
78,6/1/2019 13.00.00,1.1,92.8,28.9,79.9,1010.0,0.0,0.2
79,6/1/2019 13.10.00,1.5,90.0,29.0,80.1,1010.1,0.0,0.1
80,6/1/2019 13.20.00,0.5,46.0,28.9,80.6,1010.2,0.0,0.0
81,6/1/2019 13.30.00,1.0,89.4,28.7,80.6,1010.3,0.0,0.1
82,6/1/2019 13.40.00,1.1,65.5,28.9,80.7,1010.6,0.0,0.2
83,6/1/2019 13.50.00,1.1,41.7,29.0,80.6,1010.8,0.0,0.1
84,6/1/2019 14.00.00,1.0,55.4,28.9,80.3,1011.0,0.0,0.2
85,6/1/2019 14.10.00,1.3,83.1,28.9,80.6,1011.2,0.0,0.2
86,6/1/2019 14.20.00,1.1,66.6,28.9,80.6,1011.1,0.0,0.2
87,6/1/2019 14.30.00,0.9,61.7,28.9,81.0,1011.2,0.0,0.1
88,6/1/2019 14.40.00,1.2,79.2,28.7,81.1,1011.2,0.0,0.1
89,6/1/2019 14.50.00,1.0,78.7,28.7,81.15,1011.35,0.0,0.1
90,6/1/2019 15.00.00,0.8,78.2,28.7,81.2,1011.5,0.0,0.1
91,6/1/2019 15.10.00,0.4,39.1,28.549999999999997,81.30000000000001,1011.55,0.0,0.25
92,6/1/2019 15.20.00,0.0,0.0,28.4,81.4,1011.6,0.0,0.4
93,6/1/2019 15.30.00,0.2,18.0,28.4,81.7,1011.7,0.0,0.2
94,6/1/2019 15.40.00,0.1,36.7,28.5,81.4,1011.6,0.0,0.1
95,6/1/2019 15.50.00,0.1,358.3,28.4,81.8,1011.4,0.0,0.1
96,6/1/2019 16.00.00,0.0,0.0,28.2,82.0,1011.3,0.0,0.0
97,6/1/2019 16.10.00,0.3333333333333333,26.099999999999998,28.266666666666666,81.76666666666667,1011.1666666666666,0.0,0.03333333333333333
98,6/1/2019 16.20.00,0.6666666666666666,52.199999999999996,28.333333333333332,81.53333333333333,1011.0333333333333,0.0,0.06666666666666667
99,6/1/2019 16.30.00,1.0,78.3,28.4,81.3,1010.9,0.0,0.1
100,6/1/2019 16.40.00,1.0,65.9,28.5,81.8,1010.8,0.0,0.2
101,6/1/2019 16.50.00,0.4,44.7,28.4,81.7,1010.6,0.0,0.1
102,6/1/2019 17.00.00,0.7,42.4,28.3,81.5,1010.7,0.0,0.2
103,6/1/2019 17.10.00,0.9,57.5,28.4,81.7,1010.6,0.0,0.1
104,6/1/2019 17.20.00,0.8,57.2,28.3,81.7,1010.5,0.0,0.1
105,6/1/2019 17.30.00,0.5,41.3,28.1,82.55000000000001,1010.35,0.0,0.15000000000000002
106,6/1/2019 17.40.00,0.2,25.4,27.9,83.4,1010.2,0.0,0.2
107,6/1/2019 17.50.00,0.1,36.7,27.8,84.4,1010.0,0.0,0.2
108,6/1/2019 18.00.00,0.3666666666666667,64.13333333333334,27.866666666666667,84.23333333333333,1009.8666666666667,0.0,0.2
109,6/1/2019 18.10.00,0.6333333333333333,91.56666666666666,27.933333333333334,84.06666666666668,1009.7333333333333,0.0,0.2
110,6/1/2019 18.20.00,0.9,119.0,28.0,83.9,1009.6,0.0,0.2
111,6/1/2019 18.30.00,0.5,86.5,28.0,84.0,1009.6,0.0,0.2
112,6/1/2019 18.30.00,0.5,65.35,28.05,83.9,1009.6,0.0,0.2
113,6/1/2019 18.40.00,0.5,44.2,28.1,83.8,1009.6,0.0,0.2
114,6/1/2019 18.50.00,0.1,5.8,28.1,84.4,1009.6,0.0,0.1
115,6/1/2019 19.00.00,0.1,6.9,27.9,84.8,1009.5,0.0,0.2
116,6/1/2019 19.10.00,0.0,18.7,27.7,85.0,1009.3,0.0,0.1
117,6/1/2019 19.20.00,0.7,96.8,27.8,84.8,1009.3,0.0,0.2
118,6/1/2019 19.30.00,0.8,101.8,28.0,84.2,1009.1,0.0,0.1
119,6/1/2019 19.40.00,1.2,128.2,27.8,84.7,1008.9,0.0,0.1
120,6/1/2019 19.50.00,1.1,140.2,27.9,85.0,1008.7,0.0,0.2
121,6/1/2019 20.00.00,0.9500000000000001,133.95,27.799999999999997,85.45,1008.6500000000001,0.0,0.15000000000000002
122,6/1/2019 20.10.00,0.8,127.7,27.7,85.9,1008.6,0.0,0.1
123,6/1/2019 20.20.00,1.0,140.2,27.6,86.7,1008.6,0.0,0.3
124,6/1/2019 20.30.00,0.8,102.8,27.6,87.1,1008.7,0.0,0.1
125,6/1/2019 20.40.00,0.88,114.66,27.540000000000003,87.16,1008.7,0.0,0.1
126,6/1/2019 20.50.00,0.96,126.52,27.48,87.22,1008.7,0.0,0.1
127,6/1/2019 21.00.00,1.04,138.38,27.42,87.28,1008.7,0.0,0.1
128,6/1/2019 21.10.00,1.12,150.24,27.36,87.34,1008.7,0.0,0.1
129,6/1/2019 21.20.00,1.2,162.1,27.3,87.4,1008.7,0.0,0.1
130,6/1/2019 21.20.00,1.35,145.39999999999998,27.35,87.25,1008.7,0.0,0.15000000000000002
131,6/1/2019 21.30.00,1.5,128.7,27.4,87.1,1008.7,0.0,0.2
132,6/1/2019 21.40.00,0.9,129.1,27.4,87.0,1008.7,0.0,0.2
133,6/1/2019 21.50.00,0.975,120.85,27.375,86.925,1008.75,0.0,0.2
134,6/1/2019 22.00.00,1.05,112.6,27.35,86.85,1008.8,0.0,0.2
135,6/1/2019 22.10.00,1.125,104.35,27.325,86.775,1008.85,0.0,0.2
136,6/1/2019 22.20.00,1.2,96.1,27.3,86.7,1008.9,0.0,0.2
137,6/1/2019 22.30.00,0.85,89.85,27.200000000000003,86.25,1008.95,0.0,0.1
138,6/1/2019 22.40.00,0.5,83.6,27.1,85.8,1009.0,0.0,0.0
139,6/1/2019 22.50.00,0.85,71.94999999999999,27.05,85.69999999999999,1009.1,0.0,0.8
140,6/1/2019 23.00.00,1.2,60.3,27.0,85.6,1009.2,0.0,1.6
141,6/1/2019 23.10.00,1.3,131.6,27.1,84.8,1009.2,0.0,3.4
142,6/1/2019 23.20.00,0.9,138.8,27.3,85.0,1009.4,0.0,7.6
143,6/1/2019 23.30.00,0.7,107.3,27.2,85.0,1009.6,0.0,13.0
144,6/1/2019 23.40.00,1.4,138.4,27.2,84.6,1009.8,0.0,17.5
145,6/1/2019 23.50.00,0.9,120.6,27.4,84.4,1009.9,0.0,30.0
146,6/2/2019 0.00.00,1.3,136.7,27.6,83.7,1010.3,0.0,40.5
147,6/2/2019 0.10.00,0.6,52.1,27.8,83.4,1010.4,0.0,32.4
148,6/2/2019 0.20.00,0.3,70.0,27.8,83.2,1010.6,0.0,29.4
149,6/2/2019 0.30.00,0.9,104.9,27.9,82.8,1010.8,0.0,43.0
150,6/2/2019 0.40.00,0.9,87.7,28.2,81.6,1010.8,0.0,35.8
151,6/2/2019 0.50.00,1.25,115.55000000000001,28.5,80.35,1010.8499999999999,0.0,90.19999999999999
152,6/2/2019 1.00.00,1.6,143.4,28.8,79.1,1010.9,0.0,144.6
153,6/2/2019 1.10.00,0.5,54.6,29.5,76.8,1010.9,0.0,268.3
154,6/2/2019 1.20.00,1.1,69.1,30.2,74.7,1011.0,0.0,251.8
155,6/2/2019 1.30.00,0.9,93.8,30.5,73.4,1011.0,0.0,316.2
156,6/2/2019 1.40.00,1.4,138.7,30.6,72.4,1011.0,0.0,309.1
157,6/2/2019 1.50.00,1.4,70.1,30.6,71.8,1010.9,0.0,325.8
158,6/2/2019 2.00.00,1.4,117.7,31.1,70.1,1010.9,0.0,317.2
159,6/2/2019 2.10.00,1.7,112.3,31.4,68.2,1011.0,0.0,264.0
160,6/2/2019 2.20.00,1.1,89.6,31.1,68.1,1011.0,0.0,250.9
161,6/2/2019 2.30.00,2.4,104.8,31.1,66.7,1011.0,0.0,291.4
162,6/2/2019 2.40.00,1.9,124.4,31.6,65.4,1010.9,0.0,468.9
163,6/2/2019 2.50.00,1.5,78.6,32.0,63.2,1010.9,0.0,532.5
164,6/2/2019 3.00.00,1.0,47.3,32.7,61.1,1010.8,0.0,507.6
165,6/2/2019 3.10.00,1.4,32.7,32.9,57.5,1010.7,0.0,577.0
166,6/2/2019 3.20.00,1.7,93.6,32.9,58.2,1010.5,0.0,465.1
167,6/2/2019 3.30.00,1.5,88.0,32.4,59.3,1010.4,0.0,513.4
168,6/2/2019 3.40.00,1.6,81.1,33.1,55.7,1010.2,0.0,599.6
169,6/2/2019 3.50.00,1.6,38.0,33.0,57.6,1010.1,0.0,616.4
170,6/2/2019 4.00.00,1.8,93.5,33.1,56.4,1010.0,0.0,510.5
171,6/2/2019 4.10.00,2.8,45.0,33.6,56.0,1009.7,0.0,713.7
172,6/2/2019 4.20.00,1.3,141.2,33.8,55.2,1009.7,0.0,624.6
173,6/2/2019 4.30.00,1.2,87.9,33.7,57.0,1009.6,0.0,432.2
174,6/2/2019 4.40.00,1.8,104.0,33.1,56.5,1009.5,0.0,341.6
175,6/2/2019 4.50.00,1.1,102.5,32.9,56.3,1009.2,0.0,372.5
176,6/2/2019 5.00.00,1.1,115.6,33.3,56.2,1009.0,0.0,334.2
177,6/2/2019 5.10.00,0.9,57.6,33.6,55.2,1008.9,0.0,463.9
178,6/2/2019 5.20.00,0.9,59.2,33.3,54.1,1008.8,0.0,219.7
179,6/2/2019 5.30.00,0.9,63.0,32.8,59.0,1008.6,0.0,289.5
180,6/2/2019 5.40.00,1.2,356.7,32.8,62.4,1008.6,0.0,365.8
181,6/2/2019 5.50.00,1.9,344.5,32.9,62.7,1008.5,0.0,641.8
182,6/2/2019 6.00.00,2.1,310.7,33.1,62.9,1008.3,0.0,591.6
183,6/2/2019 6.10.00,2.7,358.0,32.6,63.8,1008.2,0.0,525.1
184,6/2/2019 6.20.00,2.8,0.2,32.3,63.5,1008.1,0.0,534.3
185,6/2/2019 6.30.00,1.8,323.8,32.8,63.1,1007.9,0.0,542.9
186,6/2/2019 6.40.00,2.4,352.2,32.9,62.8,1007.9,0.0,519.8
187,6/2/2019 6.50.00,2.3,351.7,32.7,62.3,1007.6,0.0,512.7
188,6/2/2019 7.00.00,2.2,7.5,33.0,61.5,1007.6,0.0,500.7
189,6/2/2019 7.10.00,2.1,312.9,32.8,61.7,1007.4,0.0,475.2
190,6/2/2019 7.20.00,2.4,356.5,32.7,61.4,1007.3,0.0,451.8
191,6/2/2019 7.30.00,2.2,356.6,32.4,61.4,1007.3,0.0,409.0
192,6/2/2019 7.40.00,2.3,335.1,31.8,63.1,1007.2,0.0,300.8
193,6/2/2019 7.50.00,2.7,333.0,32.0,64.7,1007.0,0.0,334.9
194,6/2/2019 8.00.00,2.4,341.8,31.9,65.7,1007.0,0.0,335.8
195,6/2/2019 8.10.00,1.8,337.7,32.0,65.7,1007.0,0.0,190.3
196,6/2/2019 8.20.00,1.5,344.1,31.8,65.4,1007.1,0.0,166.1
197,6/2/2019 8.30.00,2.5,344.0,31.4,66.1,1007.0,0.0,107.7
198,6/2/2019 8.40.00,1.7,1.1,31.0,67.5,1007.2,0.0,76.3
199,6/2/2019 8.50.00,1.8,351.6,30.7,68.7,1007.1,0.0,73.0
200,6/2/2019 9.00.00,1.5,356.0,30.8,69.9,1007.2,0.0,63.1
201,6/2/2019 9.10.00,1.8,317.6,30.7,70.2,1007.2,0.0,55.6
202,6/2/2019 9.20.00,1.5,327.9,30.5,69.8,1007.3,0.0,49.4
203,6/2/2019 9.30.00,0.9,17.5,30.4,71.0,1007.4,0.0,50.5
204,6/2/2019 9.40.00,1.25,178.3,30.299999999999997,70.65,1007.5999999999999,0.0,45.45
205,6/2/2019 9.50.00,1.6,339.1,30.2,70.3,1007.8,0.0,40.4
206,6/2/2019 10.00.00,1.3,326.0,30.0,69.9,1007.8,0.0,26.1
207,6/2/2019 10.10.00,0.9,333.1,30.1,71.2,1007.9,0.0,19.1
208,6/2/2019 10.20.00,0.8,350.4,30.0,71.9,1008.0,0.0,14.1
209,6/2/2019 10.30.00,1.0,347.5,30.0,73.1,1008.1,0.0,8.8
210,6/2/2019 10.40.00,1.0,353.1,29.8,73.6,1008.4,0.0,3.8
211,6/2/2019 10.50.00,1.0,342.4,29.6,75.2,1008.5,0.0,1.2
212,6/2/2019 11.00.00,0.6,3.2,29.5,75.8,1008.6,0.0,0.4
213,6/2/2019 11.10.00,0.9,338.3,29.6,74.9,1008.9,0.0,0.2
214,6/2/2019 11.20.00,1.6,323.9,29.6,73.8,1009.1,0.0,0.1
215,6/2/2019 11.30.00,0.3,1.4,29.5,75.8,1009.1,0.0,0.1
216,6/2/2019 11.40.00,1.4,323.6,29.5,74.9,1009.2,0.0,0.0
217,6/2/2019 11.50.00,1.2,321.1,29.7,74.5,1009.4,0.0,0.0
218,6/2/2019 12.00.00,1.2,324.1,29.6,74.8,1009.7,0.0,0.2
219,6/2/2019 12.10.00,1.0,322.6,29.6,75.2,1009.7,0.0,0.2
220,6/2/2019 12.20.00,0.2,341.3,29.5,76.1,1009.9,0.0,0.2
221,6/2/2019 12.30.00,0.2,341.9,29.3,76.3,1010.0,0.0,0.1
222,6/2/2019 12.40.00,0.0,345.0,29.2,75.6,1009.9,0.0,0.2
223,6/2/2019 12.50.00,0.0,1.8,29.0,76.8,1009.8,0.0,0.1
224,6/2/2019 13.00.00,1.0,71.9,28.8,77.2,1009.9,0.0,0.2
225,6/2/2019 13.10.00,2.1,147.5,28.7,75.6,1010.2,0.0,0.2
226,6/2/2019 13.20.00,2.5,166.8,28.2,75.9,1010.4,0.0,0.1
227,6/2/2019 13.30.00,2.4,145.4,27.6,77.1,1010.5,0.0,0.0
228,6/2/2019 13.40.00,1.7,155.3,27.2,77.9,1010.7,0.0,0.2
229,6/2/2019 13.50.00,1.5,140.6,27.2,78.0,1010.9,0.0,0.2
230,6/2/2019 14.00.00,1.3,134.45,27.1,77.6,1011.05,0.0,0.15000000000000002
231,6/2/2019 14.10.00,1.1,128.3,27.0,77.2,1011.2,0.0,0.1
232,6/2/2019 14.20.00,1.4,122.8,27.1,76.8,1011.2,0.0,0.1
233,6/2/2019 14.30.00,1.0,149.8,27.2,76.4,1011.2,0.0,0.0
234,6/2/2019 14.40.00,0.2,57.2,27.3,76.7,1011.4,0.0,0.1
235,6/2/2019 14.50.00,0.6,49.7,27.4,74.9,1011.4,0.0,0.1
236,6/2/2019 15.00.00,0.3,56.7,27.5,74.2,1011.3,0.0,0.2
237,6/2/2019 15.10.00,0.4,72.9,27.6,74.5,1011.4,0.0,0.1
238,6/2/2019 15.20.00,0.2,44.4,27.6,73.5,1011.4,0.0,0.2
239,6/2/2019 15.30.00,0.35,69.45,27.6,73.7,1011.3499999999999,0.0,0.2
240,6/2/2019 15.40.00,0.5,94.5,27.6,73.9,1011.3,0.0,0.2
241,6/2/2019 15.50.00,0.1,26.5,27.6,74.0,1011.2,0.0,0.1
242,6/2/2019 16.00.00,0.7,270.8,27.6,73.9,1011.2,0.0,0.1
243,6/2/2019 16.10.00,1.6,260.5,27.9,72.8,1011.3,0.0,0.2
