waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
6/1/2019 16.20.00,,,,,,,
6/1/2019 16.30.00,1.0,78.3,28.4,81.3,1010.9,0.0,0.1
6/1/2019 16.40.00,1.0,65.9,28.5,81.8,1010.8,0.0,0.2
6/1/2019 16.50.00,0.4,44.7,28.4,81.7,1010.6,0.0,0.1
6/1/2019 17.00.00,0.7,42.4,28.3,81.5,1010.7,0.0,0.2
6/1/2019 17.10.00,0.9,57.5,28.4,81.7,1010.6,0.0,0.1
6/1/2019 17.20.00,0.8,57.2,28.3,81.7,1010.5,0.0,0.1
6/1/2019 17.30.00,,,,,,,
6/1/2019 17.40.00,0.2,25.4,27.9,83.4,1010.2,0.0,0.2
6/1/2019 17.50.00,0.1,36.7,27.8,84.4,1010.0,0.0,0.2
6/1/2019 18.00.00,,,,,,,
6/1/2019 18.10.00,,,,,,,
6/1/2019 18.20.00,0.9,119.0,28.0,83.9,1009.6,0.0,0.2
6/1/2019 18.30.00,0.5,86.5,28.0,84.0,1009.6,0.0,0.2
6/1/2019 18.30.00,,,,,,,
6/1/2019 18.40.00,0.5,44.2,28.1,83.8,1009.6,0.0,0.2
6/1/2019 18.50.00,0.1,5.8,28.1,84.4,1009.6,0.0,0.1
6/1/2019 19.00.00,0.1,6.9,27.9,84.8,1009.5,0.0,0.2
6/1/2019 19.10.00,0.0,18.7,27.7,85.0,1009.3,0.0,0.1
6/1/2019 19.20.00,0.7,96.8,27.8,84.8,1009.3,0.0,0.2
6/1/2019 19.30.00,0.8,101.8,28.0,84.2,1009.1,0.0,0.1
6/1/2019 19.40.00,1.2,128.2,27.8,84.7,1008.9,0.0,0.1
6/1/2019 19.50.00,1.1,140.2,27.9,85.0,1008.7,0.0,0.2
6/1/2019 20.00.00,,,,,,,
6/1/2019 20.10.00,0.8,127.7,27.7,85.9,1008.6,0.0,0.1
6/1/2019 20.20.00,1.0,140.2,27.6,86.7,1008.6,0.0,0.3
6/1/2019 20.30.00,0.8,102.8,27.6,87.1,1008.7,0.0,0.1
6/1/2019 20.40.00,,,,,,,
6/1/2019 20.50.00,,,,,,,
6/1/2019 21.00.00,,,,,,,
6/1/2019 21.10.00,,,,,,,
6/1/2019 21.20.00,1.2,162.1,27.3,87.4,1008.7,0.0,0.1
6/1/2019 21.20.00,,,,,,,
6/1/2019 21.30.00,1.5,128.7,27.4,87.1,1008.7,0.0,0.2
6/1/2019 21.40.00,0.9,129.1,27.4,87.0,1008.7,0.0,0.2
6/1/2019 21.50.00,,,,,,,
6/1/2019 22.00.00,,,,,,,
6/1/2019 22.10.00,,,,,,,
6/1/2019 22.20.00,1.2,96.1,27.3,86.7,1008.9,0.0,0.2
6/1/2019 22.30.00,,,,,,,
6/1/2019 22.40.00,0.5,83.6,27.1,85.8,1009.0,0.0,0.0
6/1/2019 22.50.00,,,,,,,
6/1/2019 23.00.00,1.2,60.3,27.0,85.6,1009.2,0.0,1.6
6/1/2019 23.10.00,1.3,131.6,27.1,84.8,1009.2,0.0,3.4
6/1/2019 23.20.00,0.9,138.8,27.3,85.0,1009.4,0.0,7.6
6/1/2019 23.30.00,0.7,107.3,27.2,85.0,1009.6,0.0,13.0
6/1/2019 23.40.00,1.4,138.4,27.2,84.6,1009.8,0.0,17.5
6/1/2019 23.50.00,0.9,120.6,27.4,84.4,1009.9,0.0,30.0
6/2/2019 0.00.00,1.3,136.7,27.6,83.7,1010.3,0.0,40.5
6/2/2019 0.10.00,0.6,52.1,27.8,83.4,1010.4,0.0,32.4
6/2/2019 0.20.00,0.3,70.0,27.8,83.2,1010.6,0.0,29.4
6/2/2019 0.30.00,0.9,104.9,27.9,82.8,1010.8,0.0,43.0
6/2/2019 0.40.00,0.9,87.7,28.2,81.6,1010.8,0.0,35.8
6/2/2019 0.50.00,,,,,,,
6/2/2019 1.00.00,1.6,143.4,28.8,79.1,1010.9,0.0,144.6
6/2/2019 1.10.00,0.5,54.6,29.5,76.8,1010.9,0.0,268.3
6/2/2019 1.20.00,1.1,69.1,30.2,74.7,1011.0,0.0,251.8
6/2/2019 1.30.00,0.9,93.8,30.5,73.4,1011.0,0.0,316.2
6/2/2019 1.40.00,1.4,138.7,30.6,72.4,1011.0,0.0,309.1
6/2/2019 1.50.00,1.4,70.1,30.6,71.8,1010.9,0.0,325.8
6/2/2019 2.00.00,1.4,117.7,31.1,70.1,1010.9,0.0,317.2
6/2/2019 2.10.00,1.7,112.3,31.4,68.2,1011.0,0.0,264.0
6/2/2019 2.20.00,1.1,89.6,31.1,68.1,1011.0,0.0,250.9
6/2/2019 2.30.00,2.4,104.8,31.1,66.7,1011.0,0.0,291.4
6/2/2019 2.40.00,1.9,124.4,31.6,65.4,1010.9,0.0,468.9
6/2/2019 2.50.00,1.5,78.6,32.0,63.2,1010.9,0.0,532.5
6/2/2019 3.00.00,1.0,47.3,32.7,61.1,1010.8,0.0,507.6
6/2/2019 3.10.00,1.4,32.7,32.9,57.5,1010.7,0.0,577.0
6/2/2019 3.20.00,1.7,93.6,32.9,58.2,1010.5,0.0,465.1
6/2/2019 3.30.00,1.5,88.0,32.4,59.3,1010.4,0.0,513.4
6/2/2019 3.40.00,1.6,81.1,33.1,55.7,1010.2,0.0,599.6
6/2/2019 3.50.00,1.6,38.0,33.0,57.6,1010.1,0.0,616.4
6/2/2019 4.00.00,1.8,93.5,33.1,56.4,1010.0,0.0,510.5
6/2/2019 4.10.00,2.8,45.0,33.6,56.0,1009.7,0.0,713.7
6/2/2019 4.20.00,1.3,141.2,33.8,55.2,1009.7,0.0,624.6
6/2/2019 4.30.00,1.2,87.9,33.7,57.0,1009.6,0.0,432.2
6/2/2019 4.40.00,1.8,104.0,33.1,56.5,1009.5,0.0,341.6
6/2/2019 4.50.00,1.1,102.5,32.9,56.3,1009.2,0.0,372.5
6/2/2019 5.00.00,1.1,115.6,33.3,56.2,1009.0,0.0,334.2
6/2/2019 5.10.00,0.9,57.6,33.6,55.2,1008.9,0.0,463.9
6/2/2019 5.20.00,0.9,59.2,33.3,54.1,1008.8,0.0,219.7
6/2/2019 5.30.00,0.9,63.0,32.8,59.0,1008.6,0.0,289.5
6/2/2019 5.40.00,1.2,356.7,32.8,62.4,1008.6,0.0,365.8
6/2/2019 5.50.00,1.9,344.5,32.9,62.7,1008.5,0.0,641.8
6/2/2019 6.00.00,2.1,310.7,33.1,62.9,1008.3,0.0,591.6
6/2/2019 6.10.00,2.7,358.0,32.6,63.8,1008.2,0.0,525.1
6/2/2019 6.20.00,2.8,0.2,32.3,63.5,1008.1,0.0,534.3
6/2/2019 6.30.00,1.8,323.8,32.8,63.1,1007.9,0.0,542.9
6/2/2019 6.40.00,2.4,352.2,32.9,62.8,1007.9,0.0,519.8
6/2/2019 6.50.00,2.3,351.7,32.7,62.3,1007.6,0.0,512.7
6/2/2019 7.00.00,2.2,7.5,33.0,61.5,1007.6,0.0,500.7
6/2/2019 7.10.00,2.1,312.9,32.8,61.7,1007.4,0.0,475.2
6/2/2019 7.20.00,2.4,356.5,32.7,61.4,1007.3,0.0,451.8
6/2/2019 7.30.00,2.2,356.6,32.4,61.4,1007.3,0.0,409.0
6/2/2019 7.40.00,2.3,335.1,31.8,63.1,1007.2,0.0,300.8
6/2/2019 7.50.00,2.7,333.0,32.0,64.7,1007.0,0.0,334.9
6/2/2019 8.00.00,2.4,341.8,31.9,65.7,1007.0,0.0,335.8
6/2/2019 8.10.00,1.8,337.7,32.0,65.7,1007.0,0.0,190.3
6/2/2019 8.20.00,1.5,344.1,31.8,65.4,1007.1,0.0,166.1
6/2/2019 8.30.00,2.5,344.0,31.4,66.1,1007.0,0.0,107.7
6/2/2019 8.40.00,1.7,1.1,31.0,67.5,1007.2,0.0,76.3
6/2/2019 8.50.00,1.8,351.6,30.7,68.7,1007.1,0.0,73.0
6/2/2019 9.00.00,1.5,356.0,30.8,69.9,1007.2,0.0,63.1
6/2/2019 9.10.00,1.8,317.6,30.7,70.2,1007.2,0.0,55.6
6/2/2019 9.20.00,1.5,327.9,30.5,69.8,1007.3,0.0,49.4
6/2/2019 9.30.00,0.9,17.5,30.4,71.0,1007.4,0.0,50.5
6/2/2019 9.40.00,,,,,,,
6/2/2019 9.50.00,1.6,339.1,30.2,70.3,1007.8,0.0,40.4
6/2/2019 10.00.00,1.3,326.0,30.0,69.9,1007.8,0.0,26.1
6/2/2019 10.10.00,0.9,333.1,30.1,71.2,1007.9,0.0,19.1
6/2/2019 10.20.00,0.8,350.4,30.0,71.9,1008.0,0.0,14.1
6/2/2019 10.30.00,1.0,347.5,30.0,73.1,1008.1,0.0,8.8
6/2/2019 10.40.00,1.0,353.1,29.8,73.6,1008.4,0.0,3.8
6/2/2019 10.50.00,1.0,342.4,29.6,75.2,1008.5,0.0,1.2
6/2/2019 11.00.00,0.6,3.2,29.5,75.8,1008.6,0.0,0.4
6/2/2019 11.10.00,0.9,338.3,29.6,74.9,1008.9,0.0,0.2
6/2/2019 11.20.00,1.6,323.9,29.6,73.8,1009.1,0.0,0.1
6/2/2019 11.30.00,0.3,1.4,29.5,75.8,1009.1,0.0,0.1
6/2/2019 11.40.00,1.4,323.6,29.5,74.9,1009.2,0.0,0.0
6/2/2019 11.50.00,1.2,321.1,29.7,74.5,1009.4,0.0,0.0
6/2/2019 12.00.00,1.2,324.1,29.6,74.8,1009.7,0.0,0.2
6/2/2019 12.10.00,1.0,322.6,29.6,75.2,1009.7,0.0,0.2
6/2/2019 12.20.00,0.2,341.3,29.5,76.1,1009.9,0.0,0.2
6/2/2019 12.30.00,0.2,341.9,29.3,76.3,1010.0,0.0,0.1
6/2/2019 12.40.00,0.0,345.0,29.2,75.6,1009.9,0.0,0.2
6/2/2019 12.50.00,0.0,1.8,29.0,76.8,1009.8,0.0,0.1
6/2/2019 13.00.00,1.0,71.9,28.8,77.2,1009.9,0.0,0.2
6/2/2019 13.10.00,2.1,147.5,28.7,75.6,1010.2,0.0,0.2
6/2/2019 13.20.00,2.5,166.8,28.2,75.9,1010.4,0.0,0.1
6/2/2019 13.30.00,2.4,145.4,27.6,77.1,1010.5,0.0,0.0
